book_num,sentence
3,"['as', 'harry', 'shouted', 'expelliarmus', 'voldemort', 'cried', 'avada', 'kedavra']"
3,"['impedimenta', 'bellowed', 'pointing', 'wand', 'wildly', 'shoulder', 'death', 'eaters', 'running']"
3,"['accio', 'harry', 'yelled', 'pointing', 'wand', 'triwizard', 'cup']"
3,"['stupefy', 'there', 'blinding', 'flash', 'red', 'light', 'great', 'splintering', 'crashing', 'door', 'moody', 'office', 'blasted', 'apart']"
3,"['then', 'pointed', 'wand', 'man', 'chest', 'said', 'rennervate']"
3,"['priori', 'incantatem', 'muttered']"
3,"['no', 'see', 'rita', 'skeeter', 'hermione', 'voice', 'trembled', 'quiet', 'triumph', 'unregistered', 'animagus']"
3,"['who', 'used', 'furnunculus', 'curse']"
3,"['point', 'me', 'whispered', 'wand', 'holding', 'flat', 'palm']"
3,"['point', 'me', 'whispered', 'wand', 'spun', 'around', 'pointed', 'righthand', 'one']"
4,"['where', 'wand', 'come', 'lumos']"
4,"['expecto', 'patronum']"
4,"['expecto', 'patronum']"
4,"['expecto', 'patronum']"
4,['lumos']
4,"['that', 'could', 'bit', 'cleaning', 'scourgify', 'she', 'pointed', 'wand', 'hedwig', 'cage', 'feathers', 'droppings', 'vanished']"
4,"['locomotor', 'trunk']"
4,"['bill', 'took', 'wand', 'muttered', 'evanesco', 'scrolls', 'vanished']"
4,"['see', 'i', 'ave', 'left', 'said', 'mundungus', 'leaning', 'forward', 'pleading', 'note', 'voice', 'i', 'ad', 'business', 'opportunity']"
4,"['because', 'ministry', 'magic', 'still', 'voldemort', 'know', 'animagus', 'wormtail', 'told', 'big', 'disguise', 'useless']"
4,"['something', 'worse', 'avada', 'kedavra']"
4,"['but', 'anything', 'worse', 'avada', 'kedavra', 'curse', 'said', 'ron']"
4,"['no', 'riddikulus']"
4,['riddikulus']
4,['riddikulus']
4,"['pulling', 'wand', 'said', 'firmly', 'clearly', 'riddikulus']"
4,['scourgify']
4,['evanesco']
4,"['right', 'well', 'i', 'think', 'tackle', 'essay', 'sprout', 'selffertilizing', 'shrubs', 'first', 'lucky', 'able', 'start', 'mcgonagall', 'inanimatus', 'conjurus', 'lunch']"
4,"['you', 'know', 'probably', 'try', 'get', 'homework', 'done', 'week', 'harry', 'muttered', 'ron', 'finally', 'laid', 'aside', 'professor', 'mcgonagall', 'long', 'essay', 'inanimatus', 'conjurus', 'spell', 'turned', 'miserably', 'professor', 'sinistra', 'equally', 'long', 'difficult', 'essay', 'jupiter', 'moons']"
4,"['reparo', 'harry', 'muttered', 'pointing', 'wand', 'broken', 'pieces', 'china']"
4,"['but', 'twentyeight', 'us', 'none', 'us', 'animagus', 'need', 'much', 'invisibility', 'cloak', 'invisibility', 'marquee']"
4,"['harry', 'pointed', 'wand', 'bullfrog', 'hopping', 'hopefully', 'toward', 'side', 'table', 'accio', 'zoomed', 'gloomily', 'back', 'hand']"
4,['silencio']
4,"['silencio', 'said', 'hermione', 'hastily', 'pointing', 'wand', 'harry', 'frog', 'deflated', 'silently']"
4,['silencio']
4,['silencio']
4,['silencio']
4,"['silencio', 'the', 'raven', 'continued', 'open', 'close', 'sharp', 'beak', 'sound', 'came']"
4,"['er', 'silencio']"
4,"['he', 'pulled', 'wand', 'tapped', 'glasses', 'said', 'impervius']"
4,"['if', 'could', 'keep', 'rain', 'faces', 'would', 'really', 'help', 'visibility', 'together', 'come', 'impervius']"
4,"['they', 'squelched', 'deepening', 'mud', 'middle', 'pitch', 'visibility', 'still', 'poor', 'even', 'impervius', 'charm', 'light', 'fading', 'fast', 'curtains', 'rain', 'sweeping', 'grounds']"
4,"['i', 'thinking', 'first', 'thing', 'expelliarmus', 'know', 'disarming', 'charm']"
4,"['i', 'think', 'expelliarmus', 'exactly', 'going', 'help', 'us', 'youknowwho']"
4,"['the', 'room', 'suddenly', 'full', 'shouts', 'expelliarmus', 'wands', 'flew', 'directions', 'missed', 'spells', 'hit', 'books', 'shelves', 'sent', 'flying', 'air']"
4,"['expelliarmus', 'said', 'neville', 'harry', 'caught', 'unawares', 'felt', 'wand', 'fly', 'hand']"
4,"['he', 'blew', 'whistle', 'everybody', 'stopped', 'shouting', 'expelliarmus', 'last', 'couple', 'wands', 'clattered', 'floor']"
4,"['he', 'could', 'hear', 'girls', 'voices', 'screaming', 'malfoy', 'yelling', 'george', 'swearing', 'whistle', 'blowing', 'bellowing', 'crowd', 'around', 'care', 'somebody', 'vicinity', 'yelled', 'impedimenta', 'knocked', 'backward', 'force', 'spell', 'abandon', 'attempt', 'punch', 'every', 'inch', 'malfoy', 'could', 'reach']"
4,"['so', 'bowed', 'outta', 'way', 'went', 'found', 'nice', 'little', 'cave', 'ter', 'spend', 'night', 'followin', 'mornin', 'went', 'back', 'time', 'found', 'karkus', 'sittin', 'waitin', 'fer', 'us', 'lookin', 'eager']"
4,"['that', 'night', 'fight', 'broke', 'saw', 'mouth', 'cave', 'lookin', 'valley']"
4,"['spent', 'couple', 'days', 'lyin', 'low', 'cave', 'watchin']"
4,"['yeah', 'third', 'night', 'karkus', 'killed', 'crept', 'outta', 'cave', 'bin', 'hidin', 'headed', 'back', 'inter', 'gully', 'keepin', 'eyes', 'skinned', 'fer', 'death', 'eaters']"
4,"['cave', 'must', 'cramped', 'said', 'ron']"
4,"['the', 'room', 'soon', 'full', 'intermittent', 'cries', 'impedimenta', 'people', 'froze', 'minute', 'partners', 'would', 'stare', 'aimlessly', 'around', 'room', 'watching', 'pairs', 'work', 'would', 'unfreeze', 'take', 'turn', 'jinx']"
4,"['he', 'raised', 'wand', 'murmured', 'portus', 'moment', 'kettle', 'trembled', 'glowing', 'odd', 'blue', 'light', 'quivered', 'rest', 'solidly', 'black', 'ever']"
4,"['accio', 'butterbeer']"
4,"['perhaps', 'animagus']"
4,"['perhaps', 'voldemort', 'animagus']"
4,"['the', 'healer', 'pointed', 'wand', 'door', 'janus', 'thickey', 'ward', 'muttered', 'alohomora', 'the', 'door', 'swung', 'open', 'led', 'way', 'inside', 'keeping', 'firm', 'grasp', 'gilderoy', 'arm', 'settled', 'armchair', 'beside', 'bed']"
4,['legilimens']
4,"['let', 'go', 'count', 'three', 'one', 'two', 'three', 'legilimens']"
4,['legilimens']
4,"['bode', 'injured', 'workplace', 'accident', 'weeks', 'prior', 'death']"
4,"['bode', 'whose', 'health', 'improving', 'steadily', 'prior', 'tragic', 'accident']"
4,"['otherwise', 'well', 'know', 'i', 'inform', 'authorities', 'unregistered', 'animagus']"
4,"['one', 'two', 'three', 'legilimens']"
4,['protego']
4,"['reparo', 'hissed', 'snape', 'jar', 'sealed']"
4,"['harry', 'time', 'gather', 'together', 'attempt', 'clear', 'mind', 'snape', 'already', 'cried', 'legilimens']"
4,"['professor', 'flitwick', 'went', 'scurrying', 'wand', 'held', 'squeaked', 'locomotor', 'trunks', 'professor', 'trelawney', 'luggage', 'rose', 'air', 'proceeded', 'staircase', 'professor', 'flitwick', 'bringing', 'rear']"
4,"['firecrackers', 'exploding', 'like', 'mines', 'everywhere', 'harry', 'looked', 'instead', 'burning', 'fading', 'sight', 'fizzling', 'halt', 'pyrotechnical', 'miracles', 'seemed', 'gaining', 'energy', 'momentum', 'longer', 'watched']"
4,"['they', 'school', 'unless', 'something', 'stupefy']"
4,['accio']
4,"['snape', 'reacted', 'fast', 'though', 'expecting', 'attack', 'dropping', 'bag', 'plunged', 'hand', 'inside', 'robes', 'wand', 'halfway', 'air', 'james', 'shouted', 'expelliarmus']"
4,"['impedimenta', 'said', 'pointing', 'wand', 'snape', 'knocked', 'feet', 'halfway', 'dive', 'toward', 'fallen', 'wand']"
4,['scourgify']
4,"['disentangling', 'robes', 'got', 'quickly', 'feet', 'wand', 'sirius', 'said', 'petrificus', 'totalus', 'snape', 'keeled', 'rigid', 'board']"
